image_id,method,block_size,num_disparities,EPE,Bad-3px (%),Runtime (ms),Valid prediction ratio (%)
000000,SGBM,3,128,1.2653168,19.6549592582186,39.76869990583509,86.60859792076427
000001,SGBM,3,128,1.0600314,17.608584091439237,29.664200032129884,85.53300676463728
000002,SGBM,3,128,2.680012,32.050159235668794,30.82899993751198,79.31827229299363
000003,SGBM,3,128,1.759877,25.01056993066125,32.224099966697395,82.55961440892948
000004,SGBM,3,128,3.256326,35.16344181347738,27.228499995544553,77.99024812642386
000005,SGBM,3,128,2.6209316,29.688660259790574,27.774799964390695,81.05917930284866
000006,SGBM,3,128,2.9751575,35.07626250830893,30.24530003312975,81.67723622514058
000007,SGBM,3,128,0.8400317,13.150867823765019,43.39609993621707,89.41693948095177
000008,SGBM,3,128,0.8166698,7.167406418162536,36.02930007036775,94.98900192466319
000009,SGBM,3,128,0.7836274,10.394074814837964,26.865299907512963,91.0018021396502
000010,SGBM,3,128,0.90071195,13.39733486172804,32.0435999892652,88.80659836652815
000011,SGBM,3,128,1.0190606,14.578694291154354,58.57390002347529,88.837254332462
000012,SGBM,3,128,1.1350033,18.699940765922378,53.02500003017485,85.5932421643617
000013,SGBM,3,128,0.90107787,14.681859205776174,67.22409999929368,88.75
000014,SGBM,3,128,0.9158166,13.955760020166371,58.93059994559735,90.20040332745147
000015,SGBM,3,128,0.789048,12.433342075356238,60.512299998663366,90.04720692368214
000016,SGBM,3,128,0.79196984,10.054347826086957,60.998499975539744,92.06898174289478
000017,SGBM,3,128,0.9295765,23.668491786958686,59.0436999918893,79.61279505383668
000018,SGBM,3,128,1.8519516,20.368932832162116,55.374399991706014,86.01895734597157
000019,SGBM,3,128,1.5543832,16.836794933719744,48.784199985675514,88.7071325068427
000000,SGBM,5,128,1.0421995,17.495925821860073,45.57309998199344,87.55942680528238
000001,SGBM,5,128,0.99161965,16.574760905061815,56.37320003006607,86.11243293678564
000002,SGBM,5,128,2.037242,26.756568471337577,48.93569997511804,81.91978503184714
000003,SGBM,5,128,1.6300807,21.871300524268563,55.04300002939999,85.11436664975479
000004,SGBM,5,128,3.0360668,31.73069984640284,46.82889999821782,79.9859803931675
000005,SGBM,5,128,2.0740552,26.21043682267733,44.62640010751784,82.20746655761346
000006,SGBM,5,128,2.6785965,33.082119181502975,34.569600014947355,82.48028313242189
000007,SGBM,5,128,0.7963834,12.22817638129378,30.433099949732423,90.10187098780109
000008,SGBM,5,128,0.82003087,6.805059114654935,29.201500001363456,95.18245021406968
000009,SGBM,5,128,0.74517035,10.116982822379866,27.554100030101836,91.03096971780367
000010,SGBM,5,128,0.8432056,12.902994698380857,36.580300075002015,88.92570568849405
000011,SGBM,5,128,0.9203376,13.66379449446542,29.155900003388524,88.98247652241263
000012,SGBM,5,128,1.0384151,17.506245332097144,29.084900044836104,85.97311287954878
000013,SGBM,5,128,0.86842155,14.228339350180505,29.407400055788457,88.86845667870035
000014,SGBM,5,128,0.8669874,13.408537097722881,25.573099963366985,90.47979161415007
000015,SGBM,5,128,0.71677196,11.038989422152286,28.41279993299395,90.91703820264009
000016,SGBM,5,128,0.7175758,9.032091097308488,26.155600091442466,92.63010540184453
000017,SGBM,5,128,0.8152828,22.43719053731891,24.89100000821054,80.16819051112101
000018,SGBM,5,128,1.8422499,19.453750612845237,27.976499986834824,86.69512992319007
000019,SGBM,5,128,1.5153745,15.921215048569742,26.43920003902167,89.3897923039768
000000,SGBM,7,128,0.96406186,16.414723236864287,27.042799978516996,88.07979769598202
000001,SGBM,7,128,0.9588681,16.041987403778865,30.302700004540384,86.43713552600887
000002,SGBM,7,128,1.7017303,24.711385350318473,45.87959998752922,82.86226114649682
000003,SGBM,7,128,1.6017452,21.51086588871977,57.21080000512302,85.09745476069676
000004,SGBM,7,128,2.7283297,29.910212665065405,50.8722000522539,80.60346160586349
000005,SGBM,7,128,1.9586483,24.80063710033254,53.458700072951615,82.9726326664586
000006,SGBM,7,128,2.5853586,31.78862080735857,46.47009994369,83.45040691303019
000007,SGBM,7,128,0.7908173,12.2848729813267,28.644699952565134,90.07535161036633
000008,SGBM,7,128,0.8193067,6.663655288895871,28.099499992094934,95.21092737342394
000009,SGBM,7,128,0.77065426,10.104482431742658,28.197500039823353,91.04867860453972
000010,SGBM,7,128,0.8449491,12.966578306347614,26.38910000678152,88.86033099297894
000011,SGBM,7,128,0.95143867,13.371736534675833,27.890600031241775,89.11479007325653
000012,SGBM,7,128,1.1013501,17.38005099281465,29.93109996896237,86.07226557469933
000013,SGBM,7,128,0.8711898,14.156137184115526,30.539199942722917,88.8865072202166
000014,SGBM,7,128,0.8601629,13.037769935299554,32.50230010598898,90.68985799512646
000015,SGBM,7,128,0.71127367,10.670731707317072,25.19019995816052,91.2066177113384
000016,SGBM,7,128,0.70872235,8.694475814041033,26.377900037914515,92.81126482213439
000017,SGBM,7,128,0.82666385,21.92371171832019,24.316399940289557,80.60831521311991
000018,SGBM,7,128,1.7209334,18.806177479980388,24.79160006623715,86.9372037914692
000019,SGBM,7,128,1.5412041,15.607792625986153,27.48520008753985,89.65813341920249
000000,SGBM,9,128,1.0042416,16.04383253722956,25.725800078362226,88.52149480191065
000001,SGBM,9,128,1.0050021,16.001866106834616,26.352199958637357,86.57522743177047
000002,SGBM,9,128,1.6979035,24.08638535031847,31.409100047312677,83.03443471337579
000003,SGBM,9,128,1.6816324,21.975942837814983,26.52670000679791,84.64928970065957
000004,SGBM,9,128,2.6949067,29.142226849608793,27.721200021915138,80.75499706206769
000005,SGBM,9,128,1.9168673,24.57894340353634,31.580999959260225,82.75416751864488
000006,SGBM,9,128,2.5449307,31.080789752618436,26.19899995625019,83.65341429675009
000007,SGBM,9,128,0.82786494,13.242313952850376,25.4541999893263,89.34469703897435
000008,SGBM,9,128,0.84977627,6.7274834046898935,26.187899988144636,95.14906319965435
000009,SGBM,9,128,0.8331728,10.252403720949612,30.872600036673248,91.02055272560601
000010,SGBM,9,128,0.867608,13.155538042699527,27.17440004926175,88.760925634045
000011,SGBM,9,128,1.0091329,13.123245231871431,25.753899943083525,89.1857875883435
000012,SGBM,9,128,1.1313236,17.570630199078007,27.545900084078312,85.97440057688841
000013,SGBM,9,128,0.8868159,14.077166064981949,24.674099986441433,88.82897111913357
000014,SGBM,9,128,0.8777845,12.802495588606,30.45109997037798,90.85370977228804
000015,SGBM,9,128,0.7473872,10.622650581344523,26.6529000364244,91.40440597954367
000016,SGBM,9,128,0.7346159,8.759175607001694,25.180500000715256,92.81832298136646
000017,SGBM,9,128,0.8211372,21.894894029498836,25.583700044080615,80.38694296717404
000018,SGBM,9,128,1.7300332,18.51303317535545,24.042899953201413,87.17825625102141
000019,SGBM,9,128,1.5903044,15.507969731122204,24.737500003539026,89.91681425428004
000000,SGBM,11,128,1.0892235,16.123630233211575,25.903300032950938,88.51475133464456
000001,SGBM,11,128,1.0856931,16.39934686260788,25.450599961914122,86.37275484021461
000002,SGBM,11,128,1.8485132,24.712380573248407,34.65119993779808,82.67714968152866
000003,SGBM,11,128,1.8205546,23.384914594960257,31.584499985910952,83.54790292575682
000004,SGBM,11,128,2.7648299,29.13707258239096,29.395499965175986,80.81890997556877
000005,SGBM,11,128,2.0208998,24.843684420098793,36.26510000322014,82.70358691791952
000006,SGBM,11,128,2.5697699,30.63974273754559,33.54480001144111,83.86630257082803
000007,SGBM,11,128,0.97476023,15.816522486603143,30.344199971295893,87.4179270991459
000008,SGBM,11,128,0.8913196,6.897364389803213,34.797600004822016,95.05283004045721
000009,SGBM,11,128,0.9200282,10.494077939935623,26.016500080004334,90.94971717866184
000010,SGBM,11,128,0.96286744,13.648982662272532,28.692999971099198,88.566592635048
000011,SGBM,11,128,1.0102811,13.178106948075,26.799699990078807,89.1373801916933
000012,SGBM,11,128,1.2043456,17.828169667001468,32.187100034207106,85.90872801256792
000013,SGBM,11,128,0.92854357,14.053474729241877,31.498700031079352,88.84363718411552
000014,SGBM,11,128,0.9585898,13.030417611965381,34.37499993015081,90.90727669943702
000015,SGBM,11,128,0.8156729,10.893653291371622,55.079400073736906,91.29950170469446
000016,SGBM,11,128,0.7933368,8.977978543195935,60.03130006138235,92.70774515339733
000017,SGBM,11,128,0.8821849,21.87917529014173,74.21710004564375,80.51400277697729
000018,SGBM,11,128,1.7996874,18.567167837882007,60.9431000193581,87.26405458408236
000019,SGBM,11,128,1.6629803,15.413513658562767,68.07519996073097,90.00590350453497
